Date,DefiVolume
15/04/2022,1.91188E+11
16/04/2022,1.93591E+11
17/04/2022,1.94393E+11
18/04/2022,1.9133E+11
19/04/2022,1.95143E+11
20/04/2022,1.96893E+11
21/04/2022,1.9675E+11
22/04/2022,1.93428E+11
23/04/2022,1.92444E+11
24/04/2022,1.93564E+11
25/04/2022,1.9223E+11
26/04/2022,1.95794E+11
27/04/2022,1.88693E+11
28/04/2022,1.92861E+11
29/04/2022,1.9186E+11
30/04/2022,1.88675E+11
01/05/2022,1.81859E+11
02/05/2022,1.84365E+11
03/05/2022,1.85429E+11
04/05/2022,1.8488E+11
05/05/2022,1.91907E+11
06/05/2022,1.82903E+11
07/05/2022,1.81639E+11
08/05/2022,1.7532E+11
09/05/2022,1.68391E+11
10/05/2022,1.44595E+11
11/05/2022,1.43083E+11
12/05/2022,1.19923E+11
13/05/2022,1.04904E+11
14/05/2022,1.05975E+11
15/05/2022,1.06141E+11
16/05/2022,1.0943E+11
17/05/2022,1.04312E+11
18/05/2022,1.06547E+11
19/05/2022,1.0085E+11
20/05/2022,1.03418E+11
21/05/2022,1.01098E+11
22/05/2022,1.02139E+11
23/05/2022,1.04466E+11
24/05/2022,1.02112E+11
25/05/2022,1.0326E+11
26/05/2022,1.03104E+11
27/05/2022,97807605086
28/05/2022,96336905813
29/05/2022,98547988728
30/05/2022,97964191479
31/05/2022,1.03425E+11
01/06/2022,1.03894E+11
02/06/2022,1.00257E+11
03/06/2022,1.01619E+11
04/06/2022,99225969818
05/06/2022,98832722817
06/06/2022,98869398277
07/06/2022,99621302028
08/06/2022,99889102980
09/06/2022,98885416032
10/06/2022,97229364180
11/06/2022,94085636225
12/06/2022,89871903798
13/06/2022,85729573522
14/06/2022,74677187552
15/06/2022,72170175555
16/06/2022,72263642447
17/06/2022,67719511206
18/06/2022,68514258570
19/06/2022,64896330623
20/06/2022,67302137761
21/06/2022,68522561766
22/06/2022,68631427529
23/06/2022,68345026378
24/06/2022,70694763226
25/06/2022,72469405813
26/06/2022,72975217156
27/06/2022,71366461581
28/06/2022,70243913092
29/06/2022,68779952790
30/06/2022,67888724035
01/07/2022,67170576990
02/07/2022,67049420189
03/07/2022,67970514599
04/07/2022,67854374400
05/07/2022,70262266104
06/07/2022,70192718220
07/07/2022,71088860925
08/07/2022,71984568025
09/07/2022,71655463353
10/07/2022,71936150103
11/07/2022,70388472611
12/07/2022,68163378935
13/07/2022,66721986933
14/07/2022,68538491722
15/07/2022,70156344050
16/07/2022,70838916563
17/07/2022,72757460317
18/07/2022,72507923473
19/07/2022,76871665735
20/07/2022,77473917464
21/07/2022,76285385688
22/07/2022,77392095603
23/07/2022,76792923026
24/07/2022,76709981795
25/07/2022,77328822188
26/07/2022,74218931359
27/07/2022,74564726377
28/07/2022,78258301867
29/07/2022,80652141439
30/07/2022,79887864706
31/07/2022,80430333327
01/08/2022,79375080000
02/08/2022,78788408119
03/08/2022,77221344746
04/08/2022,78428367489
05/08/2022,79782683248
06/08/2022,81921264343
07/08/2022,81551704490
08/08/2022,82951204212
09/08/2022,83855862896
10/08/2022,81810622890
11/08/2022,85711260895
12/08/2022,85339026657
13/08/2022,85845117173
14/08/2022,86211083960
15/08/2022,85306840496
16/08/2022,83760399983
17/08/2022,83798583378
18/08/2022,82231297850
19/08/2022,80405348984
20/08/2022,76011011814
21/08/2022,75597030551
22/08/2022,77048346873
23/08/2022,77046059026
24/08/2022,77636792060
25/08/2022,77999787749
26/08/2022,78108098752
27/08/2022,74359564858
28/08/2022,73624232436
29/08/2022,72341742380
30/08/2022,74417956161
31/08/2022,74176658014
01/09/2022,73824832378
02/09/2022,74405283286
03/09/2022,74302721913
04/09/2022,74238142566
05/09/2022,74335442412
06/09/2022,75187808103
07/09/2022,71876853375
08/09/2022,73230578400
09/09/2022,73297142691
10/09/2022,75152953342
11/09/2022,75943086663
12/09/2022,75250123888
13/09/2022,74308484084
14/09/2022,70642554055
15/09/2022,69634058889
16/09/2022,67474691225
17/09/2022,67776336686
18/09/2022,68638787103
19/09/2022,66479793051
20/09/2022,66706734450
21/09/2022,66484549968
22/09/2022,64908728593
23/09/2022,67853949298
24/09/2022,68278810622
25/09/2022,67577287180
26/09/2022,68238983922
27/09/2022,69101551809
28/09/2022,69060917038
29/09/2022,69526958804
30/09/2022,69584265697
01/10/2022,69381970899
02/10/2022,69526678353
03/10/2022,68830541920
04/10/2022,69658816688
05/10/2022,70518938974
06/10/2022,70456921931
07/10/2022,70370189315
08/10/2022,69652470480
09/10/2022,69344566091
10/10/2022,68813901256
11/10/2022,68433079577
